sample pop cont Fas.c Fas.w Funi.un.c Funi.un.w Funi.we.c Funi.we.w FROHs.BCFTools.100KB.c FROHs.BCFTools.100KB.w FROHs.PLINK.100KB.c FROHs.PLINK.100KB.w FROHs.BCFTools.1MB.c FROHs.BCFTools.1MB.w FROHs.PLINK.1MB.c FROHs.PLINK.1MB.w
HG02420 ACB AFR 0.00801360688247149 -0.121848494605881 0.0109262917780827 -0.00235764209417638 0.010926291776149 0.00614780462285613 0.05211620375 0.0521158996875 0.0851603125 0.085181875 0.001034785 0.001034785 0.00103268125 0.00103268125
HG02427 ACB AFR 0.00782312685035846 -0.122063910602276 0.00432969420358599 0.0216115142884017 0.0043296942021537 0.124827084813123 0.0638771209375 0.063876889375 0.088175 0.0882915625 0.003848489375 0.003848489375 0.001137265625 0.001137265625
HG02429 ACB AFR 0.00278240894174018 -0.127764514800832 0.00365238884396487 0.0261655206486742 0.00365238884269087 0.124112311470505 0.0645410121875 0.0645410109375 0.08768125 0.0879409375 0.0057898825 0.0057898825 0.002001321875 0.002001321875
HG02433 ACB AFR 0.00409230930963089 -0.126283133840372 -0.000559665819976219 0.00900714439642048 -0.000559665820085615 0.104983616222737 0.0611118384375 0.061092609375 0.08176125 0.0817946875 0.0083316396875 0.0083316396875 0.002147015625 0.00214701875
HG02439 ACB AFR 0.00112411219158581 -0.129639901122332 0.000754125104438157 0.0199011323842207 0.000754125104127793 0.127042727226638 0.058820190625 0.0588202865625 0.080621875 0.080649375 0.00341847125 0.00341847125 0.00152579375 0.00152579375
HG02442 ACB AFR 0.016089750155763 -0.112715093950168 0.00774826984092244 0.0262208061203422 0.00774826983958904 0.151241903498873 0.0664319228125 0.0664319046875 0.0874628125 0.087663125 0.00446273875 0.00446273875 0.002240590625 0.0022425375
HG02445 ACB AFR 0.0189353957825566 -0.109496921518823 0.0133081575433961 0.0272600032006068 0.0133081575449874 0.104110132868245 0.067911810625 0.067911836875 0.094930625 0.09500875 0.0065081615625 0.0065081615625 0.00142376875 0.00142376875
HG02449 ACB AFR 0.00629718571075398 -0.123789614485108 0.00658625592531737 0.0334078715410115 0.0065862559242783 0.13847470691285 0.0647073884375 0.06470723875 0.0853175 0.08540125 0.006696961875 0.006696961875 0.0018601125 0.0018601125
HG02450 ACB AFR -0.000817803724028687 -0.131836035526696 -0.00139059833262368 0.0218201824055152 -0.00139059833239327 0.119511858075535 0.0572830725 0.057283218125 0.0788271875 0.078919375 0.002863275625 0.002863275625 0 0
HG02455 ACB AFR 0.010965697233096 -0.118509942647145 0.0078760140632314 0.0237362674220864 0.00787601406182306 0.102162500918959 0.06107662875 0.06107662875 0.086211875 0.0862609375 0.0058109996875 0.0058109996875 0.000439296875 0.000439296875
HG02461 GWD AFR 0.013578845173634 -0.115554704446683 0.00237735710978321 0.0279322365783213 0.00237735710874756 0.144685967119676 0.0610605378125 0.0610604525 0.08441 0.0845653125 0.0036728615625 0.0036728615625 0.0014940125 0.0014940125
HG02462 GWD AFR 0.0063633635160274 -0.123714773265773 0.00652238831960096 0.0287478097187326 0.00652238831924252 0.140955001252771 0.063376503125 0.0633765596875 0.0819728125 0.0821753125 0.0067329803125 0.0067329803125 0.00200141875 0.00200141875
HG02464 GWD AFR 0.00837881032639217 -0.121435481951041 0.0102251110783969 0.0258355581532118 0.0102251110777971 0.162190846105184 0.06388547125 0.06388547875 0.0836228125 0.0837334375 0.0019997196875 0.0019997196875 0.000329753125 0.000329753125
HG02465 GWD AFR 0.00676498226020801 -0.123260578141033 0.00742320325831544 0.0350800308960108 0.00742320325984316 0.156412705359424 0.0647957203125 0.0647962134375 0.08508375 0.08512125 0.003550184375 0.003550184375 0.001716790625 0.002029340625
HG02470 ACB AFR -0.00130765954190417 -0.132390018943877 -0.00402888504025102 0.0248611619210978 -0.00402888503945157 0.123957965833691 0.0591819525 0.05918171625 0.0806403125 0.0806996875 0.0034301784375 0.0034301784375 0.00133664375 0.00133664375
HG02471 ACB AFR 0.00563050559836143 -0.124543570472473 0.00160135425742572 0.00978839964978694 0.00160135425681531 0.127412568627297 0.06151559125 0.0615153165625 0.0831971875 0.0834 0.0052945403125 0.0052945403125 0 0
